Epic,StepID,Task,Status,Priority,StartDate,DueDate,DoneDate,Owner,Blocker,Evidence,NextAction
0.Setup,0.1,Vision and MVP scope freeze,Done,P0,2026-04-14,2026-04-14,2026-04-14,Me,None,APP_MVP_SCOPE.md,Keep scope fixed
0.Setup,0.2,Wireframe v1 text draft,Done,P0,2026-04-14,2026-04-14,2026-04-14,Me,None,APP_WIREFRAME.md,Convert to real UI
0.Setup,0.3,Beginner dev spec draft,Done,P1,2026-04-14,2026-04-14,2026-04-14,Me,None,APP_DEV_SPEC_BEGINNER.md,Review with spouse
1.Foundation,1.1,Install Flutter SDK,Done,P0,2026-04-14,2026-04-14,2026-04-14,Codex,None,flutter doctor output,Pin exact runtime commands
1.Foundation,1.2,Create runnable Flutter project,Done,P0,2026-04-14,2026-04-14,2026-04-14,Codex,None,C:/Users/mgseo/iottie_automation pubspec.yaml,Stabilize project path
1.Foundation,1.3,Implement 3 MVP screens skeleton,In Progress,P0,2026-04-14,2026-04-15,,Codex,Project path confusion,acupuncture_mvp/lib/* screens,Move screens to active app root
1.Foundation,1.4,Reliable local run command documented,Blocked,P0,2026-04-14,2026-04-14,,Codex,puro path mismatch,PowerShell error screenshot,Use direct flutter path + one script
2.RoleUX,2.1,Patient intake screen polish,Todo,P1,2026-04-15,2026-04-16,,Me,None,,Finalize field order and labels
2.RoleUX,2.2,Practitioner dashboard web-first layout,Todo,P0,2026-04-15,2026-04-17,,Me,None,,Table and filters first
2.RoleUX,2.3,Patient brief summary card layout,Todo,P1,2026-04-16,2026-04-17,,Me,None,,Add highlight and missing sections
2.RoleUX,2.4,Practitioner memo split UI(private/shared),Done,P1,2026-04-14,2026-04-14,2026-04-14,Codex,None,patient_brief_screen.dart,Next: persist to Firestore
2.RoleUX,2.5,Web-first role entry home page,Done,P0,2026-04-14,2026-04-14,2026-04-14,Codex,None,role_home_screen.dart + app.dart,Use as default web start
2.RoleUX,2.6,Role select -> login -> area routing,Done,P0,2026-04-14,2026-04-14,2026-04-14,Codex,None,login_screen.dart + role_home_screen.dart,Test account demo/demo1234
3.Backend,3.1,Firebase project creation,Todo,P0,2026-04-16,2026-04-16,,Me,None,,Create project and env config
3.Backend,3.2,Firestore collections setup,Todo,P0,2026-04-16,2026-04-17,,Me,None,,users clinics appointments intake_responses ai_summaries
3.Backend,3.3,Role-based security rules draft,Todo,P0,2026-04-17,2026-04-18,,Me,None,,patient/practitioner access split
4.DataFlow,4.1,Intake submit API wiring,Todo,P0,2026-04-18,2026-04-19,,Me,None,,Save intake responses
4.DataFlow,4.2,AI 3-line summary job wiring,Todo,P0,2026-04-19,2026-04-20,,Me,None,,Create ai_summaries document
4.DataFlow,4.3,Dashboard query and brief query,Todo,P0,2026-04-20,2026-04-21,,Me,None,,Show submitted and missing categories
5.QA,5.1,E2E test patient to practitioner flow,Todo,P0,2026-04-21,2026-04-22,,Me,None,,Record one successful run
5.QA,5.2,Beta checklist and bug triage board,Todo,P1,2026-04-22,2026-04-23,,Me,None,,Prepare pilot-ready checklist
6.Ops,6.1,GitHub repo and project board setup,Todo,P1,2026-04-14,2026-04-15,,Me,None,,Enable issue-based tracking
6.Ops,6.2,Weekly status report template,Todo,P2,2026-04-15,2026-04-15,,Me,None,,Update every Friday
